ID,Nombre,Apellido,Email,Genero,Movil,Ano_nacimiento ,,,,
30694573S,Odell,Sabine,osabine0@stumbleupon.com,M,663191383,1959,,,,
88054123A,Shaylah,Tuttiett,stuttiett1@dedecms.com,F,639666701,2000,,ID,NVARCHAR(15),PK
88777020X,Locke,Melchior,lmelchior2@wired.com,M,684217601,2001,,Nombre ,NVARCHAR(15),not null
67246373P,Ram,Sharkey,rsharkey3@who.int,M,636126534,1970,,Apellido,NVARCHAR(15),not null
17697536W,Carlene,Whiteley,cwhiteley4@ft.com,F,680773508,1960,,Email,NVARCHAR(30),not null
49893965L,Audra,Ades,aades5@shutterfly.com,F,684705404,1978,,Genero,NVARCHAR(1),
97400972C,Lilli,Whyard,lwhyard6@blogspot.com,F,663459525,1992,,Movil,NVARCHAR(9),
78939740Z,Willamina,Moreno,wmoreno7@google.cn,F,627376306,1992,,Año de nacimiento,SMALLINT,
71810042V,Giacobo,Beese,gbeese8@prlog.org,M,646882274,1992,,,,
19460587B,Jeffie,Breukelman,jbreukelman9@technorati.com,M,620964274,2003,,,,
29750574M,Noah,Santer,nsantera@usgs.gov,F,687844323,1997,,,,
51059949H,Mariana,Cordey,mcordeyb@about.com,F,678605127,1960,,,,
13178106A,Arnie,Mayger,amaygerc@creativecommons.org,M,645153107,1960,,,,
27908349B,Meriel,Izard,mizardd@ezinearticles.com,F,622418997,1984,,,,
72488697B,Valeda,Holbarrow,vholbarrowe@quantcast.com,F,666812498,1983,,,,
65297450J,Errick,Attle,eattlef@edublogs.org,F,632162105,2000,,,,
43912473E,Stillman,Buzza,sbuzzag@oakley.com,M,629585751,1971,,,,
45333040V,Gabbie,Stringman,gstringmanh@disqus.com,F,656005312,1965,,,,
17550281Q,Gilberto,Fawbert,gfawberti@cloudflare.com,M,645023231,1964,,,,
20784102Z,Bondie,Wimbury,bwimburyj@smugmug.com,M,627912797,2002,,,,
Z6284481N,Ingaberg,Burree,iburreek@issuu.com,F,645018483,1999,,,,
X7356057J,Zak,Gutridge,zgutridgel@prweb.com,M,621129407,1960,,,,
Z8678819G,Leena,Alfuso,lalfusom@hao123.com,F,688294368,1965,,,,
Z3754883T,Arlen,Jakubovski,ajakubovskin@techcrunch.com,M,637824020,1998,,,,
X4969004S,Prinz,Ettery,petteryo@ihg.com,M,676201600,1959,,,,
X3575173F,Cheryl,Kennady,ckennadyp@oakley.com,F,646565546,1965,,,,
X9463725F,Lilyan,Dackombe,ldackombeq@microsoft.com,F,645054121,1988,,,,
Y6042670D,Maudie,Dunston,mdunstonr@fda.gov,F,658685158,2000,,,,
X0210920X,Sindee,Loughton,sloughtons@twitter.com,F,623849742,1992,,,,
X9176709P,Lebbie,Fairchild,lfairchildt@free.fr,F,627701281,1984,,,,
Z4295501A,Nancie,Tart,ntartu@google.it,F,621586879,1983,,,,
Y7724391Q,Kingston,Wisdom,kwisdomv@networksolutions.com,M,657872738,1959,,,,
X3277475K,Gilles,Mott,gmottw@smh.com.au,M,625646825,1970,,,,
X5250400Y,Lea,Welldrake,lwelldrakex@jugem.jp,F,681389643,1960,,,,
Y7266526N,Valera,Loseke,vlosekey@statcounter.com,F,623746117,1978,,,,
X9415093C,Maribelle,MacGaffey,mmacgaffeyz@biblegateway.com,F,624152131,1992,,,,
Z8636426T,Karole,Meynell,kmeynell10@telegraph.co.uk,F,668142358,1961,,,,
X2296952B,Gerladina,Burdoun,gburdoun11@networksolutions.com,F,632545809,1972,,,,
Y6763586J,Tanhya,Notton,tnotton12@weather.com,F,626449445,1972,,,,
Z9323632N,Arvin,Lewcock,alewcock13@gravatar.com,M,640506649,1993,,,,
Z0422600A,Josey,Tiesman,jtiesman14@opensource.org,F,640491580,1965,,,,
Z7156820F,Maurizio,Scay,mscay15@163.com,M,644988311,2000,,,,
X4778585J,Iorgos,Simms,isimms16@google.it,M,641804943,2001,,,,
Z4610638V,Trude,Norway,tnorway17@usatoday.com,F,654988218,1980,,,,
X5097962N,Gabriellia,Tegeller,gtegeller18@independent.co.uk,F,649411073,1970,,,,
X8671357N,Pennie,Dauber,pdauber19@answers.com,M,631402359,1960,,,,
Y3308516A,Berny,Standingford,bstandingford1a@mapy.cz,F,657905133,1978,,,,
X2356631M,Noach,Ronca,nronca1b@phpbb.com,M,686414019,1992,,,,
X2636006E,Agnese,Harlowe,aharlowe1c@github.io,F,662980927,1961,,,,
Z1319755C,Leandra,Elland,lelland1d@w3.org,F,628117869,1972,,,,
Y4240110M,Vivienne,Mayers,vmayers1e@yellowbook.com,F,624016342,1972,,,,
Y3607093V,Martie,Pogg,mpogg1f@aboutads.info,M,652765195,1993,,,,
Z8502824M,Kyrstin,Behnecken,kbehnecken1g@linkedin.com,F,620174802,1965,,,,
Z8946391V,Annnora,Grummitt,agrummitt1h@gnu.org,F,656894621,2000,,,,
X1789647V,Robena,Bernardes,rbernardes1i@amazon.co.uk,F,621788950,2001,,,,
