"ClientID","packages_count"
"05816342X","4"
"15252058E","4"
"96283752W","4"
"19614295X","3"
"29268995T","3"
"30758329S","3"
"33371051Y","3"
"42919306H","3"
"03815869P","1"
"07299960J","1"
"10022193N","1"
"10896325Y","1"
"13178106A","1"
"17550281Q","1"
"17697536W","1"
"18203513W","1"
"19460587B","1"
"19799789D","1"
"20784102Z","1"
"26366951G","1"
"27383553Y","1"
"27908349B","1"
"27926062Z","1"
"28970164P","1"
"29750574M","1"
"30454678X","1"
"30694573S","1"
"36916639Y","1"
"37094169E","1"
"38168921F","1"
"43729854T","1"
"43912473E","1"
"44467379F","1"
"45333040V","1"
"48519235E","1"
"48811394N","1"
"49051568C","1"
"49893965L","1"
"51059949H","1"
"61474889Y","1"
"62177014X","1"
"65129422T","1"
"65189920P","1"
"65297450J","1"
"67246373P","1"
"67437514L","1"
"71810042V","1"
"72488697B","1"
"72519736T","1"
"78939740Z","1"
"80829363A","1"
"81546945P","1"
"88054123A","1"
"88427954S","1"
"88777020X","1"
"88837117P","1"
"90535422Q","1"
"94400347K","1"
"94820437Q","1"
"97400972C","1"
"X0210920X","1"
"X1789647V","1"
"X2296952B","1"
"X2356631M","1"
"X2636006E","1"
"X3277475K","1"
"X3575173F","1"
"X4540007Z","1"
"X4778585J","1"
"X4969004S","1"
"X5097962N","1"
"X5250400Y","1"
"X6961158R","1"
"X7356057J","1"
"X8671357N","1"
"X9176709P","1"
"X9415093C","1"
"X9463725F","1"
"Y3308516A","1"
"Y3607093V","1"
"Y4240110M","1"
"Y6042670D","1"
"Y6763586J","1"
"Y7266526N","1"
"Y7724391Q","1"
"Y8338147V","1"
"Z0047013Y","1"
"Z0422600A","1"
"Z1319755C","1"
"Z3754883T","1"
"Z4295501A","1"
"Z4610638V","1"
"Z6284481N","1"
"Z7156820F","1"
"Z8502824M","1"
"Z8636426T","1"
"Z8678819G","1"
"Z8946391V","1"
"Z9323632N","1"
"Z9587139P","1"
