"ClientID","FirstName","LastName","Email","PackageCode","Destination","TransportType","AccommodationType","ReservationID","TravelDate","NumberOfPeople","Price"
"03815869P","Noell","McClymond","nmcclymond2g@narod.ru","MAD00089","Oslo","Avion","Apartamento","MAD00089","2022-08-13",1,"1512.00"
"05816342X","Byrann","Wallis","bwallis2p@last.fm","MAD00106","Lubliana","Avion","Hostal","MAD00106","2021-01-13",3,"1595.00"
"05816342X","Byrann","Wallis","bwallis2p@last.fm","MAD00117","Copenague","Avion","Bed And Breakfast","MAD00117","2022-10-22",3,"5709.00"
"05816342X","Byrann","Wallis","bwallis2p@last.fm","MAD00098","Lyon","Avion","Apartamento","MAD00098","2022-11-18",4,"861.00"
"05816342X","Byrann","Wallis","bwallis2p@last.fm","MAD00114","Copenague","Avion","Hotel","MAD00114","2023-01-06",3,"4554.00"
"07299960J","Janaye","Hendrichs","jhendrichs1u@europa.eu","MAD00067","Sevilla","Coche de alquiler","Hotel","MAD00067","2021-12-08",2,"3242.00"
"10022193N","Evan","Angeau","eangeau1w@mashable.com","MAD00069","Lyon","Avion","Albergue","MAD00069","2021-12-10",5,"2169.00"
"10896325Y","Edyth","Schneider","eschneider1x@intel.com","MAD00070","Barcelona","Avion","Apartamento","MAD00070","2021-12-28",3,"3504.00"
"13178106A","Arnie","Mayger","amaygerc@creativecommons.org","MAD00013","Varsovia","Avion","Albergue","MAD00013","2020-07-05",2,"1182.00"
"15252058E","Teodor","Cornbell","tcornbell2r@instagram.com","MAD00119","Lubliana","Avion","Hotel","MAD00119","2020-03-16",1,"2719.00"
"15252058E","Teodor","Cornbell","tcornbell2r@instagram.com","MAD00108","Moscu","Avion","Bed And Breakfast","MAD00108","2021-01-31",1,"1486.00"
"15252058E","Teodor","Cornbell","tcornbell2r@instagram.com","MAD00116","Lubliana","Avion","Albergue","MAD00116","2022-10-02",1,"5294.00"
"15252058E","Teodor","Cornbell","tcornbell2r@instagram.com","MAD00100","Paris","Avion","Apartamento","MAD00100","2023-01-08",4,"3255.00"
"17550281Q","Gilberto","Fawbert","gfawberti@cloudflare.com","MAD00019","Bristol","Avion","Hotel","MAD00019","2020-09-09",4,"2837.00"
"17697536W","Carlene","Whiteley","cwhiteley4@ft.com","MAD00005","Oslo","Avion","Hotel","MAD00005","2020-04-03",2,"1747.00"
"18203513W","Dorry","Snassell","dsnassell1p@indiatimes.com","MAD00062","Bristol","Avion","Bed And Breakfast","MAD00062","2021-10-21",2,"4155.00"
"19460587B","Jeffie","Breukelman","jbreukelman9@technorati.com","MAD00010","Oporto","Tren","Bed And Breakfast","MAD00010","2020-06-13",4,"2656.00"
"19614295X","Alida","Marris","amarris2o@ebay.com","MAD00105","Oslo","Avion","Hotel","MAD00105","2020-12-25",5,"5828.00"
"19614295X","Alida","Marris","amarris2o@ebay.com","MAD00097","Sevilla","Tren","Albergue","MAD00097","2022-11-12",1,"4801.00"
"19614295X","Alida","Marris","amarris2o@ebay.com","MAD00113","Lubliana","Avion","Hostal","MAD00113","2022-11-18",3,"5405.00"
"19799789D","Durant","Livingstone","dlivingstone2a@furl.net","MAD00083","Santiago de Compostela","Tren","Hostal","MAD00083","2022-05-21",5,"2876.00"
"20784102Z","Bondie","Wimbury","bwimburyj@smugmug.com","MAD00020","Sofia","Avion","Hostal","MAD00020","2020-10-23",2,"5923.00"
"26366951G","Leeann","Habens","lhabens1t@blogger.com","MAD00066","Varsovia","Avion","Hotel","MAD00066","2021-12-04",2,"1817.00"
"27383553Y","Monique","Liddiard","mliddiard24@yahoo.co.jp","MAD00077","Paris","Avion","Apartamento","MAD00077","2022-03-04",1,"1414.00"
"27908349B","Meriel","Izard","mizardd@ezinearticles.com","MAD00014","Lisboa","Tren","Hostal","MAD00014","2020-07-07",2,"2248.00"
"27926062Z","Nikkie","Wasielewicz","nwasielewicz26@hhs.gov","MAD00079","Dublin","Avion","Hotel","MAD00079","2022-03-30",5,"446.00"
"28970164P","Avrit","Guidera","aguidera20@rediff.com","MAD00073","Lublin","Avion","Bed And Breakfast","MAD00073","2022-01-16",5,"2719.00"
"29268995T","Thorny","Greest","tgreest2n@wordpress.org","MAD00104","Cracovia","Avion","Hotel","MAD00104","2022-11-10",3,"4537.00"
"29268995T","Thorny","Greest","tgreest2n@wordpress.org","MAD00096","Oporto","Avion","Albergue","MAD00096","2022-11-10",4,"763.00"
"29268995T","Thorny","Greest","tgreest2n@wordpress.org","MAD00112","Lubliana","Avion","Hotel","MAD00112","2022-11-12",1,"4750.00"
"29750574M","Noah","Santer","nsantera@usgs.gov","MAD00011","Oporto","Coche de alquiler","Albergue","MAD00011","2020-06-20",5,"3387.00"
"30454678X","Tymothy","Gruczka","tgruczka2d@1688.com","MAD00086","Sevilla","Coche de alquiler","Hotel","MAD00086","2022-07-17",1,"4111.00"
"30694573S","Odell","Sabine","osabine0@stumbleupon.com","MAD00001","Sofia","Avion","Hostal","MAD00001","2020-01-27",2,"2595.00"
"30758329S","Tandy","Mensler","tmensler2l@is.gd","MAD00110","Glasgow","Avion","Bed And Breakfast","MAD00110","2021-02-03",3,"2135.00"
"30758329S","Tandy","Mensler","tmensler2l@is.gd","MAD00102","Oslo","Avion","Hostal","MAD00102","2022-10-22",2,"952.00"
